L 11/07/1999 - 20:01:05: Log file started.
L 11/07/1999 - 20:01:05: Spawning server "cs_ship"
L 11/07/1999 - 20:01:05: server cvars start
L 11/07/1999 - 20:01:05: "mp_friendly_grenade_damage" = "1"
L 11/07/1999 - 20:01:05: "mp_c4timer" = "30"
L 11/07/1999 - 20:01:05: "mp_roundtime" = "5"
L 11/07/1999 - 20:01:05: "mp_allowmonsters" = "0"
L 11/07/1999 - 20:01:05: "mp_teamlist" = "hgrunt;scientist"
L 11/07/1999 - 20:01:05: "decalfrequency" = "30"
L 11/07/1999 - 20:01:05: "mp_autocrosshair" = "1"
L 11/07/1999 - 20:01:05: "mp_flashlight" = "0"
L 11/07/1999 - 20:01:05: "mp_footsteps" = "1"
L 11/07/1999 - 20:01:05: "mp_forcerespawn" = "1"
L 11/07/1999 - 20:01:05: "mp_weaponstay" = "0"
L 11/07/1999 - 20:01:05: "mp_falldamage" = "0"
L 11/07/1999 - 20:01:05: "mp_friendlyfire" = "0"
L 11/07/1999 - 20:01:05: "mp_limitteams" = "1"
L 11/07/1999 - 20:01:05: "mp_lowlag" = "1"
L 11/07/1999 - 20:01:05: "mp_timelimit" = "45"
L 11/07/1999 - 20:01:05: "mp_fraglimit" = "0"
L 11/07/1999 - 20:01:05: "sv_maxrate" = "0"
L 11/07/1999 - 20:01:05: "sv_minrate" = "0"
L 11/07/1999 - 20:01:05: "sv_allowupload" = "1"
L 11/07/1999 - 20:01:05: "sv_allowdownload" = "1"
L 11/07/1999 - 20:01:05: "sv_upload_maxsize" = "0"
L 11/07/1999 - 20:01:05: "sv_spectatormaxspeed" = "500"
L 11/07/1999 - 20:01:05: "sv_spectalk" = "1"
L 11/07/1999 - 20:01:05: "sv_maxspectators" = "8"
L 11/07/1999 - 20:01:05: "sv_cheats" = "0"
L 11/07/1999 - 20:01:05: "sv_clienttrace" = "1"
L 11/07/1999 - 20:01:05: "sv_timeout" = "65"
L 11/07/1999 - 20:01:05: "sv_waterfriction" = "1"
L 11/07/1999 - 20:01:05: "sv_wateraccelerate" = "10"
L 11/07/1999 - 20:01:05: "sv_airaccelerate" = "10"
L 11/07/1999 - 20:01:05: "sv_airmove" = "1"
L 11/07/1999 - 20:01:05: "sv_bounce" = "1"
L 11/07/1999 - 20:01:05: "sv_clipmode" = "0"
L 11/07/1999 - 20:01:05: "sv_stepsize" = "18"
L 11/07/1999 - 20:01:05: "sv_accelerate" = "10"
L 11/07/1999 - 20:01:05: "sv_maxspeed" = "320"
L 11/07/1999 - 20:01:05: "sv_stopspeed" = "100"
L 11/07/1999 - 20:01:05: "edgefriction" = "2"
L 11/07/1999 - 20:01:05: "sv_friction" = "4"
L 11/07/1999 - 20:01:05: "sv_gravity" = "800"
L 11/07/1999 - 20:01:05: "sv_aim" = "0"
L 11/07/1999 - 20:01:05: "sv_password" = ""
L 11/07/1999 - 20:01:05: "pausable" = "0"
L 11/07/1999 - 20:01:05: "coop" = "0"
L 11/07/1999 - 20:01:05: "deathmatch" = "1"
L 11/07/1999 - 20:01:05: "mp_logecho" = "1"
L 11/07/1999 - 20:01:05: "mp_logfile" = "1"
L 11/07/1999 - 20:01:05: "cmdline" = "0"
L 11/07/1999 - 20:01:05: server cvars end
L 11/07/1999 - 20:01:06: Map CRC "-1491927759"
L 11/07/1999 - 20:01:14: "cliffe<1>" has entered the game
L 11/07/1999 - 20:02:46: "cliffe<1>" disconnected
L 11/07/1999 - 20:02:46: Log closed.
